2026-03-14 22:44:13,090 | INFO | [1/90] Processing ATL 2023
2026-03-14 22:44:13,090 | INFO | Fetching ATL season 2023
2026-03-14 22:44:13,515 | INFO | 82 games collected
2026-03-14 22:44:16,676 | INFO | [1/90] Processing ATL 2023
2026-03-14 22:44:16,676 | INFO | Fetching ATL season 2023
2026-03-14 22:44:17,061 | INFO | 82 games collected
2026-03-14 22:44:17,516 | INFO | [2/90] Processing BOS 2023
2026-03-14 22:44:17,516 | INFO | Fetching BOS season 2023
2026-03-14 22:44:17,724 | INFO | 82 games collected
2026-03-14 22:44:21,061 | INFO | [2/90] Processing BOS 2023
2026-03-14 22:44:21,061 | INFO | Fetching BOS season 2023
2026-03-14 22:44:21,184 | INFO | 82 games collected
2026-03-14 22:44:21,725 | INFO | [3/90] Processing BRK 2023
2026-03-14 22:44:21,725 | INFO | Fetching BRK season 2023
2026-03-14 22:44:22,012 | INFO | 82 games collected
2026-03-14 22:44:25,185 | INFO | [3/90] Processing BRK 2023
2026-03-14 22:44:25,185 | INFO | Fetching BRK season 2023
2026-03-14 22:44:25,292 | INFO | 82 games collected
2026-03-14 22:44:26,012 | INFO | [4/90] Processing CHO 2023
2026-03-14 22:44:26,013 | INFO | Fetching CHO season 2023
2026-03-14 22:44:26,279 | INFO | 82 games collected
2026-03-14 22:44:29,292 | INFO | [4/90] Processing CHO 2023
2026-03-14 22:44:29,293 | INFO | Fetching CHO season 2023
2026-03-14 22:44:29,371 | INFO | 82 games collected
2026-03-14 22:44:30,280 | INFO | [5/90] Processing CHI 2023
2026-03-14 22:44:30,280 | INFO | Fetching CHI season 2023
2026-03-14 22:44:30,497 | INFO | 82 games collected
2026-03-14 22:44:33,372 | INFO | [5/90] Processing CHI 2023
2026-03-14 22:44:33,372 | INFO | Fetching CHI season 2023
2026-03-14 22:44:33,481 | INFO | 82 games collected
2026-03-14 22:44:34,498 | INFO | [6/90] Processing CLE 2023
2026-03-14 22:44:34,498 | INFO | Fetching CLE season 2023
2026-03-14 22:44:34,748 | INFO | 82 games collected
2026-03-14 22:44:37,481 | INFO | [6/90] Processing CLE 2023
2026-03-14 22:44:37,481 | INFO | Fetching CLE season 2023
2026-03-14 22:44:37,569 | INFO | 82 games collected
2026-03-14 22:44:38,749 | INFO | [7/90] Processing DAL 2023
2026-03-14 22:44:38,749 | INFO | Fetching DAL season 2023
2026-03-14 22:44:38,965 | INFO | 82 games collected
2026-03-14 22:44:41,570 | INFO | [7/90] Processing DAL 2023
2026-03-14 22:44:41,570 | INFO | Fetching DAL season 2023
2026-03-14 22:44:41,659 | INFO | 82 games collected
2026-03-14 22:44:42,966 | INFO | [8/90] Processing DEN 2023
2026-03-14 22:44:42,966 | INFO | Fetching DEN season 2023
2026-03-14 22:44:43,211 | INFO | 82 games collected
2026-03-14 22:44:45,659 | INFO | [8/90] Processing DEN 2023
2026-03-14 22:44:45,659 | INFO | Fetching DEN season 2023
2026-03-14 22:44:45,771 | INFO | 82 games collected
2026-03-14 22:44:47,212 | INFO | [9/90] Processing DET 2023
2026-03-14 22:44:47,212 | INFO | Fetching DET season 2023
2026-03-14 22:44:47,430 | INFO | 82 games collected
2026-03-14 22:44:49,772 | INFO | [9/90] Processing DET 2023
2026-03-14 22:44:49,772 | INFO | Fetching DET season 2023
2026-03-14 22:44:49,886 | INFO | 82 games collected
2026-03-14 22:44:51,431 | INFO | [10/90] Processing GSW 2023
2026-03-14 22:44:51,431 | INFO | Fetching GSW season 2023
2026-03-14 22:44:51,684 | INFO | 82 games collected
2026-03-14 22:44:53,887 | INFO | [10/90] Processing GSW 2023
2026-03-14 22:44:53,887 | INFO | Fetching GSW season 2023
2026-03-14 22:44:53,990 | INFO | 82 games collected
2026-03-14 22:44:55,685 | INFO | [11/90] Processing HOU 2023
2026-03-14 22:44:55,685 | INFO | Fetching HOU season 2023
2026-03-14 22:44:55,928 | INFO | 82 games collected
2026-03-14 22:44:57,990 | INFO | [11/90] Processing HOU 2023
2026-03-14 22:44:57,990 | INFO | Fetching HOU season 2023
2026-03-14 22:44:58,092 | INFO | 82 games collected
2026-03-14 22:44:59,929 | INFO | [12/90] Processing IND 2023
2026-03-14 22:44:59,929 | INFO | Fetching IND season 2023
2026-03-14 22:45:00,175 | INFO | 82 games collected
2026-03-14 22:45:02,093 | INFO | [12/90] Processing IND 2023
2026-03-14 22:45:02,093 | INFO | Fetching IND season 2023
2026-03-14 22:45:02,181 | INFO | 82 games collected
2026-03-14 22:45:04,175 | INFO | [13/90] Processing LAC 2023
2026-03-14 22:45:04,175 | INFO | Fetching LAC season 2023
2026-03-14 22:45:04,410 | INFO | 82 games collected
2026-03-14 22:45:06,181 | INFO | [13/90] Processing LAC 2023
2026-03-14 22:45:06,181 | INFO | Fetching LAC season 2023
2026-03-14 22:45:06,285 | INFO | 82 games collected
2026-03-14 22:45:08,410 | INFO | [14/90] Processing LAL 2023
2026-03-14 22:45:08,410 | INFO | Fetching LAL season 2023
2026-03-14 22:45:08,687 | INFO | 82 games collected
2026-03-14 22:45:10,286 | INFO | [14/90] Processing LAL 2023
2026-03-14 22:45:10,286 | INFO | Fetching LAL season 2023
2026-03-14 22:45:10,402 | INFO | 82 games collected
2026-03-14 22:45:12,687 | INFO | [15/90] Processing MEM 2023
2026-03-14 22:45:12,687 | INFO | Fetching MEM season 2023
2026-03-14 22:45:12,912 | INFO | 82 games collected
2026-03-14 22:45:14,402 | INFO | [15/90] Processing MEM 2023
2026-03-14 22:45:14,402 | INFO | Fetching MEM season 2023
2026-03-14 22:45:14,508 | INFO | 82 games collected
2026-03-14 22:45:16,912 | INFO | [16/90] Processing MIA 2023
2026-03-14 22:45:16,912 | INFO | Fetching MIA season 2023
2026-03-14 22:45:17,216 | INFO | 82 games collected
2026-03-14 22:45:18,509 | INFO | [16/90] Processing MIA 2023
2026-03-14 22:45:18,509 | INFO | Fetching MIA season 2023
2026-03-14 22:45:18,613 | INFO | 82 games collected
2026-03-14 22:45:21,217 | INFO | [17/90] Processing MIL 2023
2026-03-14 22:45:21,217 | INFO | Fetching MIL season 2023
2026-03-14 22:45:21,529 | INFO | 82 games collected
2026-03-14 22:45:22,614 | INFO | [17/90] Processing MIL 2023
2026-03-14 22:45:22,614 | INFO | Fetching MIL season 2023
2026-03-14 22:45:22,705 | INFO | 82 games collected
2026-03-14 22:45:25,530 | INFO | [18/90] Processing MIN 2023
2026-03-14 22:45:25,530 | INFO | Fetching MIN season 2023
2026-03-14 22:45:25,752 | INFO | 82 games collected
2026-03-14 22:45:26,705 | INFO | [18/90] Processing MIN 2023
2026-03-14 22:45:26,705 | INFO | Fetching MIN season 2023
2026-03-14 22:45:26,843 | INFO | 82 games collected
2026-03-14 22:45:29,752 | INFO | [19/90] Processing NOP 2023
2026-03-14 22:45:29,752 | INFO | Fetching NOP season 2023
2026-03-14 22:45:30,013 | INFO | 82 games collected
2026-03-14 22:45:30,843 | INFO | [19/90] Processing NOP 2023
2026-03-14 22:45:30,843 | INFO | Fetching NOP season 2023
2026-03-14 22:45:30,936 | INFO | 82 games collected
2026-03-14 22:45:34,014 | INFO | [20/90] Processing NYK 2023
2026-03-14 22:45:34,014 | INFO | Fetching NYK season 2023
2026-03-14 22:45:34,247 | INFO | 82 games collected
2026-03-14 22:45:34,936 | INFO | [20/90] Processing NYK 2023
2026-03-14 22:45:34,936 | INFO | Fetching NYK season 2023
2026-03-14 22:45:35,042 | INFO | 82 games collected
2026-03-14 22:45:38,247 | INFO | [21/90] Processing OKC 2023
2026-03-14 22:45:38,247 | INFO | Fetching OKC season 2023
2026-03-14 22:45:38,520 | INFO | 82 games collected
2026-03-14 22:45:39,042 | INFO | [21/90] Processing OKC 2023
2026-03-14 22:45:39,042 | INFO | Fetching OKC season 2023
2026-03-14 22:45:39,155 | INFO | 82 games collected
2026-03-14 22:45:42,520 | INFO | [22/90] Processing ORL 2023
2026-03-14 22:45:42,521 | INFO | Fetching ORL season 2023
2026-03-14 22:45:42,732 | INFO | 82 games collected
2026-03-14 22:45:43,155 | INFO | [22/90] Processing ORL 2023
2026-03-14 22:45:43,155 | INFO | Fetching ORL season 2023
2026-03-14 22:45:43,235 | INFO | 82 games collected
2026-03-14 22:45:46,732 | INFO | [23/90] Processing PHI 2023
2026-03-14 22:45:46,732 | INFO | Fetching PHI season 2023
2026-03-14 22:45:46,977 | INFO | 82 games collected
2026-03-14 22:45:47,236 | INFO | [23/90] Processing PHI 2023
2026-03-14 22:45:47,236 | INFO | Fetching PHI season 2023
2026-03-14 22:45:47,328 | INFO | 82 games collected
2026-03-14 22:45:50,978 | INFO | [24/90] Processing PHO 2023
2026-03-14 22:45:50,978 | INFO | Fetching PHO season 2023
2026-03-14 22:45:51,219 | INFO | 82 games collected
2026-03-14 22:45:51,328 | INFO | [24/90] Processing PHO 2023
2026-03-14 22:45:51,329 | INFO | Fetching PHO season 2023
2026-03-14 22:45:51,427 | INFO | 82 games collected
2026-03-14 22:45:55,220 | INFO | [25/90] Processing POR 2023
2026-03-14 22:45:55,220 | INFO | Fetching POR season 2023
2026-03-14 22:45:55,428 | INFO | [25/90] Processing POR 2023
2026-03-14 22:45:55,428 | INFO | Fetching POR season 2023
2026-03-14 22:45:55,480 | INFO | 82 games collected
2026-03-14 22:45:55,529 | INFO | 82 games collected
2026-03-14 22:45:59,480 | INFO | [26/90] Processing SAC 2023
2026-03-14 22:45:59,480 | INFO | Fetching SAC season 2023
2026-03-14 22:45:59,530 | INFO | [26/90] Processing SAC 2023
2026-03-14 22:45:59,530 | INFO | Fetching SAC season 2023
2026-03-14 22:45:59,718 | INFO | 82 games collected
2026-03-14 22:45:59,730 | INFO | 82 games collected
2026-03-14 22:46:03,718 | INFO | [27/90] Processing SAS 2023
2026-03-14 22:46:03,719 | INFO | Fetching SAS season 2023
2026-03-14 22:46:03,731 | INFO | [27/90] Processing SAS 2023
2026-03-14 22:46:03,731 | INFO | Fetching SAS season 2023
2026-03-14 22:46:03,945 | INFO | 82 games collected
2026-03-14 22:46:03,950 | INFO | 82 games collected
2026-03-14 22:46:07,946 | INFO | [28/90] Processing TOR 2023
2026-03-14 22:46:07,946 | INFO | Fetching TOR season 2023
2026-03-14 22:46:07,951 | INFO | [28/90] Processing TOR 2023
2026-03-14 22:46:07,951 | INFO | Fetching TOR season 2023
2026-03-14 22:46:08,151 | INFO | 82 games collected
2026-03-14 22:46:08,156 | INFO | 82 games collected
2026-03-14 22:46:12,152 | INFO | [29/90] Processing UTA 2023
2026-03-14 22:46:12,152 | INFO | Fetching UTA season 2023
2026-03-14 22:46:12,157 | INFO | [29/90] Processing UTA 2023
2026-03-14 22:46:12,157 | INFO | Fetching UTA season 2023
2026-03-14 22:46:12,355 | INFO | 82 games collected
2026-03-14 22:46:12,361 | INFO | 82 games collected
2026-03-14 22:46:16,355 | INFO | [30/90] Processing WAS 2023
2026-03-14 22:46:16,355 | INFO | Fetching WAS season 2023
2026-03-14 22:46:16,361 | INFO | [30/90] Processing WAS 2023
2026-03-14 22:46:16,361 | INFO | Fetching WAS season 2023
2026-03-14 22:46:16,544 | INFO | 82 games collected
2026-03-14 22:46:16,552 | INFO | 82 games collected
2026-03-14 22:46:20,545 | INFO | [31/90] Processing ATL 2024
2026-03-14 22:46:20,545 | INFO | Fetching ATL season 2024
2026-03-14 22:46:20,552 | INFO | [31/90] Processing ATL 2024
2026-03-14 22:46:20,552 | INFO | Fetching ATL season 2024
2026-03-14 22:46:20,772 | INFO | 82 games collected
2026-03-14 22:46:20,780 | INFO | 82 games collected
2026-03-14 22:46:24,772 | INFO | [32/90] Processing BOS 2024
2026-03-14 22:46:24,772 | INFO | Fetching BOS season 2024
2026-03-14 22:46:24,781 | INFO | [32/90] Processing BOS 2024
2026-03-14 22:46:24,781 | INFO | Fetching BOS season 2024
2026-03-14 22:46:24,994 | INFO | 82 games collected
2026-03-14 22:46:25,001 | INFO | 82 games collected
2026-03-14 22:46:28,995 | INFO | [33/90] Processing BRK 2024
2026-03-14 22:46:28,995 | INFO | Fetching BRK season 2024
2026-03-14 22:46:29,001 | INFO | [33/90] Processing BRK 2024
2026-03-14 22:46:29,001 | INFO | Fetching BRK season 2024
2026-03-14 22:46:29,201 | INFO | 82 games collected
2026-03-14 22:46:29,214 | INFO | 82 games collected
2026-03-14 22:46:33,202 | INFO | [34/90] Processing CHO 2024
2026-03-14 22:46:33,202 | INFO | Fetching CHO season 2024
2026-03-14 22:46:33,214 | INFO | [34/90] Processing CHO 2024
2026-03-14 22:46:33,214 | INFO | Fetching CHO season 2024
2026-03-14 22:46:33,852 | INFO | 82 games collected
2026-03-14 22:46:33,916 | INFO | 82 games collected
2026-03-14 22:46:37,853 | INFO | [35/90] Processing CHI 2024
2026-03-14 22:46:37,853 | INFO | Fetching CHI season 2024
2026-03-14 22:46:37,917 | INFO | [35/90] Processing CHI 2024
2026-03-14 22:46:37,917 | INFO | Fetching CHI season 2024
2026-03-14 22:46:38,061 | INFO | 82 games collected
2026-03-14 22:46:38,070 | INFO | 82 games collected
2026-03-14 22:46:42,061 | INFO | [36/90] Processing CLE 2024
2026-03-14 22:46:42,061 | INFO | Fetching CLE season 2024
2026-03-14 22:46:42,070 | INFO | [36/90] Processing CLE 2024
2026-03-14 22:46:42,070 | INFO | Fetching CLE season 2024
2026-03-14 22:46:42,314 | INFO | 82 games collected
2026-03-14 22:46:42,321 | INFO | 82 games collected
2026-03-14 22:46:46,315 | INFO | [37/90] Processing DAL 2024
2026-03-14 22:46:46,315 | INFO | Fetching DAL season 2024
2026-03-14 22:46:46,322 | INFO | [37/90] Processing DAL 2024
2026-03-14 22:46:46,322 | INFO | Fetching DAL season 2024
2026-03-14 22:46:46,567 | INFO | 82 games collected
2026-03-14 22:46:46,568 | INFO | 82 games collected
2026-03-14 22:46:50,567 | INFO | [38/90] Processing DEN 2024
2026-03-14 22:46:50,567 | INFO | Fetching DEN season 2024
2026-03-14 22:46:50,569 | INFO | [38/90] Processing DEN 2024
2026-03-14 22:46:50,569 | INFO | Fetching DEN season 2024
2026-03-14 22:46:50,790 | INFO | 82 games collected
2026-03-14 22:46:50,797 | INFO | 82 games collected
2026-03-14 22:46:54,791 | INFO | [39/90] Processing DET 2024
2026-03-14 22:46:54,791 | INFO | Fetching DET season 2024
2026-03-14 22:46:54,797 | INFO | [39/90] Processing DET 2024
2026-03-14 22:46:54,797 | INFO | Fetching DET season 2024
2026-03-14 22:46:54,993 | INFO | 82 games collected
2026-03-14 22:46:54,993 | INFO | 82 games collected
